User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000001,F,15,10,A,2,0
1000002,M,69,16,C,4+,0
1000003,M,34,15,A,3,0
1000004,M,46,7,B,2,1
1000005,M,27,20,A,1,1
1000006,F,51,9,A,1,0
1000007,M,37,1,B,1,1
1000008,M,34,12,C,4+,1
1000009,M,30,17,C,0,0
1000010,F,44,1,B,4+,1
1000011,F,30,1,C,1,0
1000012,M,30,12,C,2,0
1000012,M,30,12,C,2,0
1000013,M,47,1,C,3,1
1000014,M,37,0,C,0,0
1000015,M,33,7,A,1,0
1000016,F,43,0,C,0,1
1000017,M,52,1,C,0,0
1000018,F,23,3,B,3,0
1000019,M,15,10,A,3,0
1000020,M,29,14,A,0,0
1000021,M,22,16,B,0,0
1000022,M,22,15,A,4+,0
1000023,M,42,0,B,3,1
1000024,F,35,7,A,3,1
1000025,M,20,4,C,4+,0
1000026,M,33,7,B,2,1
1000027,M,34,11,C,1,1
1000028,F,32,1,C,2,1
1000029,M,37,7,C,1,0
1000030,F,45,7,C,3,0
1000031,M,62,7,C,2,0
1000032,F,26,0,C,3,1
1000033,M,50,3,A,1,1
1000034,F,20,0,A,0,0
1000035,M,49,1,C,4+,1
1000036,M,29,3,B,0,0
1000037,F,28,9,C,1,0
1000039,M,22,4,B,2,0
1000041,F,21,4,C,3,0
1000042,M,35,8,C,0,1
1000043,M,27,12,A,0,0
1000044,M,49,17,B,3,1
1000045,F,50,16,A,1,1
1000046,M,24,19,C,4+,0
1000047,M,25,4,C,4+,1
1000048,M,35,4,B,3,1
1000049,M,25,12,C,4+,1
1000050,F,33,2,A,1,1
1000051,F,15,10,C,2,0
1000052,M,24,4,C,0,0
1000053,M,33,0,B,1,0
1000054,M,55,1,C,4+,1
1000055,F,42,12,B,1,0
1000056,M,45,20,C,0,1
1000057,M,23,19,C,2,0
1000058,M,28,2,B,3,0
1000059,F,51,1,B,4+,1
1000060,M,55,1,C,1,1
1000061,M,33,17,C,1,0
1000062,F,43,3,A,1,0
1000063,M,21,4,C,2,0
1000064,M,18,1,A,1,1
1000065,M,37,12,C,2,1
1000066,M,26,18,C,2,0
1000067,F,55,5,C,4+,1
1000067,F,55,5,C,4+,1
1000067,F,55,5,C,4+,1
1000067,F,55,5,C,4+,1
1000068,M,21,4,A,0,0
1000069,F,26,1,A,1,0
1000070,M,23,4,A,2,0
1000071,M,32,14,A,0,1
1000072,F,47,0,B,1,1
1000073,M,21,4,A,4+,0
1000074,M,40,14,A,2,1
1000075,F,15,10,C,4+,0
1000076,M,39,7,B,2,1
1000077,M,20,4,C,2,0
1000078,F,50,1,C,0,1
1000079,F,49,0,A,1,0
1000080,M,70,1,C,3,1
1000081,F,35,0,A,1,1
1000082,M,26,17,C,2,1
1000083,F,28,2,C,1,0
1000084,M,21,4,C,1,0
1000085,M,25,4,C,1,0
1000086,F,17,10,C,3,0
1000087,M,32,14,C,2,0
1000088,F,46,1,C,1,1
1000089,F,72,9,C,1,1
1000090,M,66,13,C,1,0
1000091,M,44,7,C,3,1
1000092,F,20,4,B,1,0
1000093,M,30,17,B,1,1
1000094,M,31,17,C,1,0
1000095,M,47,0,C,4+,1
1000096,F,28,16,C,2,1
1000097,F,38,3,C,3,0
1000098,F,39,7,C,2,1
1000099,F,15,10,C,1,0
1000100,M,38,17,C,4+,0
1000101,F,22,3,A,1,0
1000102,M,44,19,C,3,0
1000103,M,46,7,B,2,1
1000104,M,31,12,C,3,1
1000105,M,49,12,C,1,1
1000106,F,36,11,C,4+,0
1000107,M,48,18,C,4+,0
1000108,M,31,12,C,3,0
1000109,M,49,15,C,1,1
1000110,M,30,2,B,4+,0
1000111,M,40,15,C,3,0
1000112,M,32,16,C,3,1
1000113,M,18,12,C,2,0
1000114,F,31,2,C,0,0
1000116,M,26,17,C,2,1
1000117,M,30,17,A,2,1
1000118,M,39,17,C,4+,0
1000119,F,17,10,C,1,0
1000120,M,33,11,C,0,0
1000121,M,40,7,C,2,0
1000122,F,21,4,C,1,0
1000123,M,42,9,B,4+,1
1000124,M,59,7,C,1,1
1000125,M,49,14,B,3,1
1000126,M,18,9,B,1,0
1000127,F,48,3,C,1,1
1000128,M,57,6,A,1,1
1000129,M,28,11,C,2,0
1000130,M,43,17,B,3,1
1000131,M,22,4,C,4+,0
1000132,M,32,17,C,1,0
1000133,F,34,0,C,1,1
1000134,M,35,0,C,3,1
1000135,M,19,4,C,1,1
1000136,M,20,2,B,3,0
1000137,F,50,6,C,4+,1
1000138,M,20,20,C,1,1
1000139,F,28,20,C,2,0
1000140,F,39,1,B,3,0
1000141,M,41,13,C,1,1
1000142,M,26,7,A,2,0
1000143,M,20,3,C,0,0
1000144,M,33,17,C,1,1
1000145,M,22,4,C,4+,0
1000146,F,42,20,B,3,1
1000147,M,23,4,B,4+,0
1000148,M,52,17,B,3,1
1000149,M,33,1,B,2,1
1000150,M,44,7,B,0,1
1000151,F,28,20,A,1,1
1000152,M,22,4,A,3,0
